Q889	Afganistán	afgano	afgana
Q222	Albania	albano	albana
Q183	Alemania	alemán	alemana
Q228	Andorra	andorrano	andorrana
Q916	Angola	angoleño	angoleña
Q781	Antigua y Barbuda	antiguano	antiguana
Q851	Arabia Saudita	saudí	saudí
Q262	Argelia	argelino	argelina
Q414	Argentina	argentino	argentina
Q399	Armenia	armenio	armenia
Q408	Australia	australiano	australiana
Q40	Austria	austríaco	austríaca
Q227	Azerbaiyán	azerbaiyano	azerbaiyana
Q778	Bahamas	bahameño	bahameña
Q902	Bangladés	bangladesí	bangladesí
Q244	Barbados	barbadense	barbadense
Q398	Baréin	bareiní	bareiní
Q31	Bélgica	belga	belga
Q242	Belice	beliceño	beliceña
Q962	Benín	beninés	beninesa
Q184	Bielorrusia	bielorruso	bielorrusa
Q836	Birmania	birmano	birmana
Q750	Bolivia	boliviano	boliviana
Q225	Bosnia-Herzegovina	bosnioherzegovino	bosnioherzegovina
Q963	Botsuana	botsuano	botsuana
Q155	Brasil	brasileño	brasileña
Q921	Brunéi	bruneano	bruneana
Q219	Bulgaria	búlgaro	búlgara
Q965	Burkina Faso	burkinés	burkinesa
Q967	Burundi	burundés	burundesa
Q917	Bután	butanés	butanesa
Q1011	Cabo Verde	caboverdiano	caboverdiana
Q424	Camboya	camboyano	camboyana
Q1009	Camerún	camerunés	camerunesa
Q16	Canadá	canadiense	canadiense
Q846	Catar	catarí	catarí
Q657	Chad	chadiano	chadiana
Q298	Chile	chileno	chilena
Q148	China	chino	china
Q229	Chipre	chipriota	chipriota
Q739	Colombia	colombiano	colombiana
Q970	Comoras	comorense	comorense
Q971	Congo	congoleño	congoleña
Q423	Corea del Norte	norcoreano	norcoreana
Q884	Corea del Sur	surcoreano	surcoreana
Q1008	Costa de Marfil	marfileño	marfileña
Q800	Costa Rica	costarricense	costarricense
Q224	Croacia	croata	croata
Q241	Cuba	cubano	cubana
Q35	Dinamarca	danés	danesa
Q784	Dominica	dominiqués	dominiquesa
