Q2486919	abanderado	abanderada
Q14866863	abogado	abogada
Q18510179	abolicionista	abolicionista
Q1037166	absentista	absentista
Q414528	académico	académica
Q16631371	académico	académica
Q19798999	acarólogo	acaróloga
Q2919189	acomodador	acomodadora
Q1863064	acordeonista	acordeonista
Q11957145	acróbata	acróbata
Q15253558	activista	activista
Q33999	actor	actriz
Q4677709	actor-mánager	actriz-mánager
Q179985	actuario	actuaria
Q2859165	acuanauta	acuanauta
Q17505902	acuarelista	acuarelista
Q23663603	acupunturista	acupunturista
Q8011071	adiestrador	adiestradora
Q8011724	adivino	adivina
Q16532929	administrativo	administrativa
Q17276189	aerólogo	aeróloga
Q728425	aeronauta	aeronauta
Q3606216	aforista	aforista
Q15936497	africanista	africanista
Q131512	agricultor	agricultora
Q294126	agrimensor	agrimensora
Q1781198	agrónomo	agrónoma
Q33112416	agrostólogo	agrostóloga
Q965417	aguador	aguadora
Q4696968	aikidoka	aikidoka
Q27062049	aizcolari	aizcolari
Q10873124	ajedrecista	ajedrecista
Q5662051	alabardero	alabardera
Q654437	albacea	albacea
Q16316337	albanólogo	albanóloga
Q30185	alcalde	alcaldesa
Q2837942	alergólogo	alergóloga
Q26102	alertador	alertadora
Q3400050	alfarero	alfarera
Q21764863	algorista	algorista
Q4726509	alienista	alienista
Q15954519	alquimista	alquimista
Q48942	alumno	alumna
Q625369	amante	amante
Q3578589	ambientalista	ambientalista
Q16308157	amerindólogo	amerindóloga
Q1146843	anacoreta	anacoreta
Q485178	analista	analista
Q47511341	anarco-feminista	anarco-feminista
Q24293741	anarcosindicalista	anarcosindicalista
Q12961474	anarquista	anarquista
Q10872101	anatomista	anatomista
Q28837	anestesiólogo	anestesióloga
Q2849224	anestesista	anestesista
Q30132173	angiólogo	angióloga
Q16308156	anglicista	anglicista
Q138858	animador	animadora
Q28971125	animadora	animadora
Q3625363	animador	animadora
Q5116158	animalier	animalier
Q5697103	anticuario	anticuaria
Q15954665	antisemita	antisemita
Q16360440	antólogo	antóloga
Q4773904	antropólogo	antropóloga
Q3935727	aparejador	aparejadora
Q852389	apicultor	apicultora
Q17318006	apneísta	apneísta
Q3827976	apoderado	apoderada
Q619553	apologeta	apologeta
Q620573	arabista	arabista
Q17344952	aracnólogo	aracnóloga
Q776268	arborista	arborista
Q635734	archivero	archivera
Q50824723	arenero	arenera
Q2478141	aristócrata	aristócrata
Q500251	armador	armadora
Q21280575	armenólogo	armenóloga
Q15137728	arqueoastrónomo	arqueoastrónoma
Q3621491	arqueólogo	arqueóloga
Q13382355	arquero	arquera
Q42973	arquitecto	arquitecta
Q1643514	arreglista	arreglista
Q1294787	artesano	artesana
Q4070283	artillero	artillera
Q483501	artista	artista
Q19890761	artivista	artivista
Q195651	ascensorista	ascensorista
Q779458	asceta	asceta
